;,;,"2022 CEC Nonresidential Source Energy factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Source:,,E3/MSontag - 9/14/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Last modified:,,RLH - 9/19/19 - Updated with 2022 Source Energy multipliers for use with new (2022) weather files.  Also rearranged columns to group by fuel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,SAC - 6/1/13 - updated Res table w/ Nonres values & updated format/structure to be consistent w/ other data model ruleset tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,;,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
;,; MoDaHr,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm
TABLE SrcbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,4.29250712,4.29250712,4.29250712,4.29250712,4.29250712,3.839299242,3.828751625,3.839299242,3.839299242,3.839299242,4.29250712,4.29250712,4.29250712,3.839299242,3.839299242,3.839299242,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10102,4.291424562,4.291424562,4.291424562,4.291424562,4.291424562,3.825064948,3.814556436,3.825064948,3.825064948,3.825064948,4.291424562,4.291424562,4.291424562,3.825064948,3.825064948,3.825064948,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10103,4.286743045,4.286743045,4.286743045,4.286743045,4.286743045,3.802807144,3.792359781,3.802807144,3.802807144,3.802807144,4.286743045,4.286743045,4.286743045,3.802807144,3.802807144,3.802807144,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10104,4.119189338,4.119189338,4.119189338,4.119189338,4.119189338,3.622938498,3.612985284,3.622938498,3.622938498,3.622938498,4.119189338,4.119189338,4.119189338,3.622938498,3.622938498,3.622938498,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10105,4.278541074,4.278541074,4.278541074,4.278541074,4.278541074,3.733351718,3.723095167,3.733351718,3.733351718,3.733351718,4.278541074,4.278541074,4.278541074,3.733351718,3.733351718,3.733351718,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10106,4.297519038,4.297519038,4.297519038,4.297519038,4.297519038,3.871526639,3.860890484,3.871526639,3.871526639,3.871526639,4.297519038,4.297519038,4.297519038,3.871526639,3.871526639,3.871526639,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10107,4.299867087,4.299867087,4.299867087,4.299867087,4.299867087,3.875447927,3.864800999,3.875447927,3.875447927,3.875447927,4.299867087,4.299867087,4.299867087,3.875447927,3.875447927,3.875447927,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10108,4.303782419,4.303782419,4.303782419,4.303782419,4.303782419,3.865990829,3.855369882,3.865990829,3.865990829,3.865990829,4.303782419,4.303782419,4.303782419,3.865990829,3.865990829,3.865990829,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10109,4.307610164,4.307610164,4.307610164,4.307610164,4.307610164,3.621894671,3.611944324,3.621894671,3.621894671,3.621894671,4.307610164,4.307610164,4.307610164,3.621894671,3.621894671,3.621894671,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10110,4.317324684,4.317324684,4.317324684,4.317324684,4.317324684,2.038485192,2.032884909,2.038485192,2.038485192,2.038485192,4.317324684,4.317324684,4.317324684,2.038485192,2.038485192,2.038485192,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10111,4.18493071,4.18493071,4.18493071,4.18493071,4.18493071,1.603812663,1.599406546,1.603812663,1.603812663,1.603812663,4.18493071,4.18493071,4.18493071,1.603812663,1.603812663,1.603812663,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10112,3.980134825,3.980134825,3.980134825,3.980134825,3.980134825,1.577831713,1.573496972,1.577831713,1.577831713,1.577831713,3.980134825,3.980134825,3.980134825,1.577831713,1.577831713,1.577831713,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10113,3.292394489,3.292394489,3.292394489,3.292394489,3.292394489,1.580993028,1.576649603,1.580993028,1.580993028,1.580993028,3.292394489,3.292394489,3.292394489,1.580993028,1.580993028,1.580993028,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10114,3.6006244,3.6006244,3.6006244,3.6006244,3.6006244,1.573622448,1.569299272,1.573622448,1.573622448,1.573622448,3.6006244,3.6006244,3.6006244,1.573622448,1.573622448,1.573622448,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10115,3.27379093,3.27379093,3.27379093,3.27379093,3.27379093,1.621518835,1.617064074,1.621518835,1.621518835,1.621518835,3.27379093,3.27379093,3.27379093,1.621518835,1.621518835,1.621518835,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
