; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
Common_Mech/Elec_TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7h,Common_Mech/Elec_Zn,551.948,-99996,-99996,,,,,,
Wing1_Side1_TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7h-2,Wing1_Side1_Zn,912.914,-99996,-99996,,,,,,
Wing1_Corridor_TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7h-3,Wing1_Corridor_Zn,980.646,-99996,-99996,,,,,,
Wing1_Side2_TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7h-4,Wing1_Side2_Zn,729.025,-99996,-99996,,,,,,
Common_Lobby_TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7h-5,Common_Lobby_Zn,602.982,-99996,-99996,,,,,,
Common_Corridor_TU,BaseVAVNoReheatTrmlUnit-6,Uncontrolled,BaseAirSys7h-6,Common_Corridor_Zn,983.578,-99996,-99996,,,,,,
Wing2_Side1_TU,BaseVAVNoReheatTrmlUnit-7,Uncontrolled,BaseAirSys7h-7,Wing2_Side1_Zn,898.19,-99996,-99996,,,,,,
Wing2_Corridor_TU,BaseVAVNoReheatTrmlUnit-8,Uncontrolled,BaseAirSys7h-8,Wing2_Corridor_Zn,986.841,-99996,-99996,,,,,,
Wing2_Side2_TU,BaseVAVNoReheatTrmlUnit-9,Uncontrolled,BaseAirSys7h-9,Wing2_Side2_Zn,736.869,-99996,-99996,,,,,,
Common_Office_TU,BaseVAVNoReheatTrmlUnit-10,Uncontrolled,BaseAirSys7h-10,Common_Office_Zn,2051.5,-99996,-99996,,,,,,
Common_Cafeteria_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7h-11,Common_Cafeteria_Zn,3237.762,1618.881,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Common_Mech/Elec_CoilClg,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7h,n/a,15647.927,16325.649,-99996,13,10.845,1,,,
Wing1_Side1_CoilClg,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7h-2,n/a,28415.9,29646.61,-99996,13,10.845,1,,,
Wing1_Corridor_CoilClg,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7h-3,n/a,27801.641,29005.747,-99996,13,10.845,1,,,
Wing1_Side2_CoilClg,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7h-4,n/a,20668.114,21563.263,-99996,13,10.845,1,,,
Common_Lobby_CoilClg,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7h-5,n/a,17117.88,17859.266,-99996,13,10.845,1,,,
Common_Corridor_CoilClg,BaseSys7or3b CoilClg-6,DirectExpansion,BaseAirSys7h-6,n/a,35709.501,37256.101,-99996,13,10.845,1,,,
Wing2_Side1_CoilClg,BaseSys7or3b CoilClg-7,DirectExpansion,BaseAirSys7h-7,n/a,28045.658,29260.332,-99996,13,10.845,1,,,
Wing2_Corridor_CoilClg,BaseSys7or3b CoilClg-8,DirectExpansion,BaseAirSys7h-8,n/a,27977.293,29189.006,-99996,13,10.845,1,,,
Wing2_Side2_CoilClg,BaseSys7or3b CoilClg-9,DirectExpansion,BaseAirSys7h-9,n/a,20890.487,21795.266,-99996,13,10.845,1,,,
Common_Office_CoilClg,BaseSys7or3b CoilClg-10,DirectExpansion,BaseAirSys7h-10,n/a,61588.416,64255.848,-99996,13,10.845,1,,,
Common_Cafeteria_CoilClg,BaseSys7or3b CoilClg-11,DirectExpansion,BaseAirSys7h-11,n/a,91791.651,95767.203,-99996,-99996,11,2,,,
ENDTABLE,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Common_Mech/Elec_CoilHtg,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7h,n/a,17003.37,16325.649,0,-99996,-99996,,,,
Wing1_Side1_CoilHtg,BaseSys7or3b CoilHtg-2,HeatPump,BaseAirSys7h-2,n/a,30877.32,29646.61,0,-99996,-99996,,,,
Wing1_Corridor_CoilHtg,BaseSys7or3b CoilHtg-3,HeatPump,BaseAirSys7h-3,n/a,30209.852,29005.747,0,-99996,-99996,,,,
Wing1_Side2_CoilHtg,BaseSys7or3b CoilHtg-4,HeatPump,BaseAirSys7h-4,n/a,22458.412,21563.263,0,-99996,-99996,,,,
Common_Lobby_CoilHtg,BaseSys7or3b CoilHtg-5,HeatPump,BaseAirSys7h-5,n/a,18600.651,17859.266,0,-99996,-99996,,,,
Common_Corridor_CoilHtg,BaseSys7or3b CoilHtg-6,HeatPump,BaseAirSys7h-6,n/a,38802.701,37256.101,0,-99996,-99996,,,,
Wing2_Side1_CoilHtg,BaseSys7or3b CoilHtg-7,HeatPump,BaseAirSys7h-7,n/a,30475.007,29260.332,0,-99996,-99996,,,,
Wing2_Corridor_CoilHtg,BaseSys7or3b CoilHtg-8,HeatPump,BaseAirSys7h-8,n/a,30400.72,29189.006,0,-99996,-99996,,,,
Wing2_Side2_CoilHtg,BaseSys7or3b CoilHtg-9,HeatPump,BaseAirSys7h-9,n/a,22700.046,21795.266,0,-99996,-99996,,,,
