;,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
CoreZn TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7or3b,Core_ZN Thermal Zone,1116.075,-99996,-99996,,,,,,
Perim1 TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7or3b-2,Perimeter_ZN_1 Thermal Zone,1073.233,-99996,-99996,,,,,,
Perim2 TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7or3b-3,Perimeter_ZN_2 Thermal Zone,621,-99996,-99996,,,,,,
Perim3 TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7or3b-4,Perimeter_ZN_3 Thermal Zone,910.645,-99996,-99996,,,,,,
Perim4 TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7or3b-5,Perimeter_ZN_4 Thermal Zone,706.028,-99996,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
CoreZnCoolingCoil,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,31641.111,33011.506,-99996,13,10.845,1,,,
Perim1ZnCoolingCoil,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,30653.181,31980.789,-99996,13,10.845,1,,,
Perim2ZnCoolingCoil,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,18547.611,19350.919,-99996,13,10.845,1,,,
Perim3ZnCoolingCoil,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,32018.204,33404.932,-99996,13,10.845,1,,,
Perim4ZnCoolingCoil,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7or3b-5,n/a,22430.02,23401.477,-99996,13,10.845,1,,,
ENDTABLE,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
CoreZnHeatingCoil,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,34381.902,33011.506,0,-99996,-99996,,,,
Perim1ZnHeatingCoil,BaseSys7or3b CoilHtg-2,HeatPump,BaseAirSys7or3b-2,n/a,33308.397,31980.789,0,-99996,-99996,,,,
Perim2ZnHeatingCoil,BaseSys7or3b CoilHtg-3,HeatPump,BaseAirSys7or3b-3,n/a,20154.227,19350.919,0,-99996,-99996,,,,
Perim3ZnHeatingCoil,BaseSys7or3b CoilHtg-4,HeatPump,BaseAirSys7or3b-4,n/a,34791.66,33404.932,0,-99996,-99996,,,,
Perim4ZnHeatingCoil,BaseSys7or3b CoilHtg-5,HeatPump,BaseAirSys7or3b-5,n/a,24372.935,23401.477,0,-99996,-99996,,,,
