;,,,,,,,,,,,,,
TABLE RetlMedCECStd22050012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
Back_Space_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7or3b,Back_Space Thermal Zone,3048.177,1524.089,-99996,,,,,,
Core_Retail_TU,BaseVAVNoReheatTrmlUnit-2,VAVNoReheatBox,BaseAirSys7or3b-2,Core_Retail Thermal Zone,16452.242,8226.121,-99996,,,,,,
Front_Retail_TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7or3b-3,Front_Retail Thermal Zone,1961.087,-99996,-99996,,,,,,
Point_Of_Sale_TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7or3b-4,Point_Of_Sale Thermal Zone,1954.994,-99996,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlMedCECStd22050012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Back_Space_CoilClg,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,77910.383,81284.729,-99996,-99996,11,2,,,
Core_Retail_CoilClg,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,462219.071,482238.059,-99996,-99996,9.5,2,,,
Front_Retail_CoilClg,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,57218.895,59697.08,-99996,13,10.845,1,,,
Point_Of_Sale_CoilClg,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,57288.837,59770.051,-99996,13,10.845,1,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlMedCECStd22050012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Back_Space_CoilHtg,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,84659.075,81284.729,0,-99996,-99996,,,,
Core_Retail_CoilHtg,BaseSys7or3b CoilHtg-2,HeatPump,BaseAirSys7or3b-2,n/a,502257.047,482238.059,0,-99996,-99996,,,,
Front_Retail_CoilHtg,BaseSys7or3b CoilHtg-3,HeatPump,BaseAirSys7or3b-3,n/a,62175.265,59697.08,0,-99996,-99996,,,,
Point_Of_Sale_CoilHtg,BaseSys7or3b CoilHtg-4,HeatPump,BaseAirSys7or3b-4,n/a,62251.266,59770.051,0,-99996,-99996,,,,
Back_Space_SuppCoilHtg,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,63709.1,63709.1,0,-99996,-99996,,,,
Core_Retail_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,476637.838,476637.838,0,-99996,-99996,,,,
Front_Retail_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7or3b-3,n/a,50795.787,50795.787,0,-99996,-99996,,,,
Point_Of_Sale_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7or3b-4,n/a,50703.175,50703.175,0,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlMedCECStd22050012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
Back_Space_Fan,BaseSys7or3b Fan,VariableSpeedDrive,BaseAirSys7or3b,n/a,3048.177,1524.089,0.65,PowerPerUnitFlow,3.684,2.722,3,InAirStream,0.895
Core_Retail_Fan,BaseSys7or3b Fan-2,VariableSpeedDrive,BaseAirSys7or3b-2,n/a,16452.242,8226.121,0.65,PowerPerUnitFlow,3.455,13.783,15,InAirStream,0.924
Front_Retail_Fan,BaseSys7or3b Fan-3,ConstantVolume,BaseAirSys7or3b-3,n/a,1961.087,-99996,0.65,PowerPerUnitFlow,3.56,1.693,2,InAirStream,0.865
Point_Of_Sale_Fan,BaseSys7or3b Fan-4,ConstantVolume,BaseAirSys7or3b-4,n/a,1954.994,-99996,0.65,PowerPerUnitFlow,3.56,1.687,2,InAirStream,0.865
ENDTABLE,,,,,,,,,,,,,
TABLE RetlMedCECStd22050012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
Back_Space_OACtrl,BaseSys7or3b OACtrl,FixedDryBulb,BaseAirSys7or3b,Integrated,,,,,,,,,
Core_Retail_OACtrl,BaseSys7or3b OACtrl-2,FixedDryBulb,BaseAirSys7or3b-2,Integrated,,,,,,,,,
Front_Retail_OACtrl,BaseSys7or3b OACtrl-3,FixedDryBulb,BaseAirSys7or3b-3,Integrated,,,,,,,,,
Point_Of_Sale_OACtrl,BaseSys7or3b OACtrl-4,FixedDryBulb,BaseAirSys7or3b-4,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
