;,,,,,,,,,,,,,
TABLE WhseCECStd22080012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
Office_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7h,Zn_Office,2591.234,1295.617,-99996,,,,,,
FineStorage_TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys9,Zn_FineStorage,6145.463,-99996,-99996,,,,,,
BulkStorage_TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys9-2,Zn_BulkStorage,27438.444,-99996,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE WhseCECStd22080012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Office_CoilClg,BaseSys7h CoilClg,DirectExpansion,BaseAirSys7h,n/a,72517.646,75658.43,-99996,-99996,11,2,,,
ENDTABLE,,,,,,,,,,,,,
TABLE WhseCECStd22080012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Office_CoilHtg,BaseSys7h CoilHtg,HeatPump,BaseAirSys7h,n/a,78227.133,75086.35,0,-99996,-99996,,,,
Office_SuppCoilHtg,BaseSys7h SuppCoilHtg,Resistance,BaseAirSys7h,n/a,59700.625,59700.625,0,-99996,-99996,,,,
FineStorage_CoilHtg,BaseSys9 CoilHtg,Furnace,BaseAirSys9,n/a,350491.875,350491.875,0,-99996,0.8,,,,
BulkStorage_CoilHtg,BaseSys9 CoilHtg-2,Furnace,BaseAirSys9-2,n/a,1469618.65,1469618.65,0,-99996,0.8,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE WhseCECStd22080012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
Office_SupplyFan,BaseSys7h Fan,VariableSpeedDrive,BaseAirSys7h,n/a,2591.234,1295.617,0.65,BrakeHorsePower,3.684,2.314,3,InAirStream,0.895
FineStorage_SupplyFan,BaseSys9 Fan,ConstantVolume,BaseAirSys9,n/a,6145.463,-99996,0.65,BrakeHorsePower,3.145,4.686,5,InAirStream,0.895
BulkStorage_SupplyFan,BaseSys9 Fan-2,ConstantVolume,BaseAirSys9-2,n/a,27438.444,-99996,0.65,BrakeHorsePower,3.133,20.839,25,InAirStream,0.936
ENDTABLE,,,,,,,,,,,,,
TABLE WhseCECStd22080012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
Office_OACtrl,BaseSys7h OACtrl,FixedDryBulb,BaseAirSys7h,Integrated,,,,,,,,,
FineStorage_OACtrl,BaseSys9 OACtrl,NoEconomizer,BaseAirSys9,UNDEFINED,,,,,,,,,
BulkStorage_OACtrl,BaseSys9 OACtrl-2,NoEconomizer,BaseAirSys9-2,UNDEFINED,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
